time,rho,temperature,power,Tran,Shim1,Shim2,Reg
16.250000000000096,71.75078868033704,20.00000000000409,0.00015575203421816462,540.0,468.0,336.0,744.0
16.300000000000097,71.75078867759362,20.00000000000425,0.00016107390729590184,540.0,468.0,336.0,744.0
16.350000000000097,71.75078867478398,20.000000000004373,0.0001269260180706464,540.0,468.0,336.0,744.0
16.400000000000098,71.75078869281208,20.00000000000449,0.0001184586220547943,540.0,468.0,336.0,744.0
16.4500000000001,71.75078869728235,20.000000000004604,0.00011758829303695431,540.0,468.0,336.0,744.0
16.5000000000001,71.75078869774185,20.00000000000472,0.00011902611696481454,540.0,468.0,336.0,744.0
16.5500000000001,71.75078869698277,20.00000000000484,0.00012122382562313538,540.0,468.0,336.0,744.0
16.6000000000001,71.7507886958225,20.00000000000496,0.00012372707967550623,540.0,468.0,336.0,744.0
16.6500000000001,71.75078869450093,20.000000000005084,0.0001264017223248301,540.0,468.0,336.0,744.0
16.700000000000102,71.75078869308888,20.000000000005212,0.00012920755315719976,540.0,468.0,336.0,744.0
16.750000000000103,71.75078869160754,20.00000000000534,0.0001321321603974929,540.0,468.0,336.0,744.0
16.800000000000104,71.75078869006353,20.00000000000547,0.00013517154656661183,540.0,468.0,336.0,744.0
16.850000000000104,71.75078868845894,20.000000000005606,0.00013832443692034227,540.0,468.0,336.0,744.0
16.900000000000105,71.75078868679437,20.000000000005745,0.00014159059117208674,540.0,468.0,336.0,744.0
16.950000000000106,71.75078868507005,20.000000000005887,0.0001449702885389342,540.0,468.0,336.0,744.0
17.000000000000107,71.75078868328573,20.000000000006033,0.00014846415848434623,540.0,468.0,336.0,744.0
17.050000000000107,71.75078868144121,20.00000000000618,0.00015207311490439955,540.0,468.0,336.0,744.0
17.100000000000108,71.75078867953587,20.000000000006334,0.0001557983226614082,540.0,468.0,336.0,744.0
17.15000000000011,71.75078867756919,20.00000000000649,0.00015964117543557123,540.0,468.0,336.0,744.0
17.20000000000011,71.75078867554038,20.00000000000665,0.00016360327853054277,540.0,468.0,336.0,744.0
17.25000000000011,71.75078867344862,20.000000000006814,0.00016768643458184006,540.0,468.0,336.0,744.0
17.30000000000011,71.75078867129295,20.00000000000698,0.00017189263140068997,540.0,468.0,336.0,744.0
17.35000000000011,71.75078866907235,20.000000000007155,0.00017622403158134117,540.0,468.0,336.0,744.0
17.400000000000112,71.7507886667856,20.000000000007333,0.00018068296363321138,540.0,468.0,336.0,744.0
17.450000000000113,71.75078866443155,20.000000000007514,0.0001852719144538674,540.0,468.0,336.0,744.0
17.500000000000114,71.75078866200887,20.0000000000077,0.00018999352298857252,540.0,468.0,336.0,744.0
17.550000000000114,71.75078865951612,20.00000000000789,0.00019485057494297102,540.0,468.0,336.0,744.0
17.600000000000115,71.75078865695191,20.000000000008086,0.00019984599843225217,540.0,468.0,336.0,744.0
17.650000000000116,71.7507886543146,20.00000000000829,0.00020498286046445843,540.0,468.0,336.0,744.0
17.700000000000117,71.75078865160263,20.000000000008495,0.00021026436416808752,540.0,468.0,336.0,744.0
